scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
benchmark_questions,evo_gen_0001,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
benchmark_questions,evo_gen_0002,0.412240,0.371279,0.280339,0.336648,0.307422,0.403400,64
benchmark_questions,evo_gen_0003,0.426302,0.367526,0.288151,0.337490,0.285547,0.392029,64
benchmark_questions,evo_gen_0004,0.432552,0.362886,0.294401,0.336948,0.273047,0.379413,64
benchmark_questions,evo_gen_0005,0.438021,0.361083,0.295182,0.337019,0.266797,0.374697,64
benchmark_questions,evo_gen_0006,0.441927,0.361248,0.297526,0.338162,0.260547,0.372806,64
benchmark_questions,evo_gen_0007,0.444661,0.359993,0.299479,0.339152,0.255859,0.370883,64
benchmark_questions,evo_gen_0008,0.447786,0.359585,0.302604,0.340077,0.249609,0.367922,64
benchmark_questions,evo_gen_0009,0.450911,0.360913,0.302604,0.340077,0.246484,0.366609,64
benchmark_questions,evo_gen_0010,0.454036,0.362427,0.302604,0.340077,0.243359,0.365698,64
