scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
benchmark_questions,evo_gen_0001,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
benchmark_questions,evo_gen_0002,0.416927,0.371626,0.281901,0.335911,0.301172,0.405038,64
benchmark_questions,evo_gen_0003,0.432552,0.362448,0.288151,0.334656,0.279297,0.384794,64
benchmark_questions,evo_gen_0004,0.436458,0.361357,0.292057,0.334240,0.271484,0.379506,64
benchmark_questions,evo_gen_0005,0.442708,0.360330,0.293620,0.332965,0.263672,0.371850,64
benchmark_questions,evo_gen_0006,0.449740,0.360020,0.294401,0.333158,0.255859,0.367767,64
benchmark_questions,evo_gen_0007,0.452083,0.358965,0.299870,0.336937,0.248047,0.365645,64
benchmark_questions,evo_gen_0008,0.455208,0.360037,0.301432,0.338344,0.243359,0.365589,64
benchmark_questions,evo_gen_0009,0.459896,0.361916,0.302214,0.338515,0.237891,0.364523,64
benchmark_questions,evo_gen_0010,0.463021,0.362910,0.302214,0.338515,0.234766,0.363095,64
