scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
benchmark_questions,evo_gen_0001,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
benchmark_questions,evo_gen_0002,0.412630,0.369028,0.281510,0.334573,0.305859,0.404801,64
benchmark_questions,evo_gen_0003,0.423177,0.362523,0.286589,0.333943,0.290234,0.390858,64
benchmark_questions,evo_gen_0004,0.430208,0.361723,0.290495,0.333068,0.279297,0.384485,64
benchmark_questions,evo_gen_0005,0.436458,0.358601,0.295182,0.333290,0.268359,0.375152,64
benchmark_questions,evo_gen_0006,0.438802,0.359070,0.295964,0.333598,0.265234,0.374871,64
benchmark_questions,evo_gen_0007,0.443490,0.358745,0.295964,0.333598,0.260547,0.371206,64
benchmark_questions,evo_gen_0008,0.448177,0.358579,0.295964,0.333598,0.255859,0.367875,64
benchmark_questions,evo_gen_0009,0.452865,0.361219,0.295964,0.333598,0.251172,0.367921,64
benchmark_questions,evo_gen_0010,0.455208,0.361576,0.296745,0.334141,0.248047,0.367486,64
