scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.465365,0.393314,0.257292,0.327531,0.277344,0.405706,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.499479,0.405365,0.253255,0.331814,0.247266,0.395313,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.513281,0.406616,0.256641,0.335477,0.230078,0.396817,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.531250,0.411395,0.243750,0.331004,0.225000,0.399603,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.534766,0.412801,0.242578,0.332125,0.222656,0.394801,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.533854,0.408529,0.252083,0.331523,0.214063,0.380003,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.541927,0.406628,0.254167,0.330440,0.203906,0.374622,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.542708,0.413345,0.255729,0.340676,0.201562,0.372249,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.543880,0.411018,0.257682,0.333767,0.198437,0.376067,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.543099,0.414658,0.255339,0.338653,0.201563,0.381410,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.467708,0.416377,0.258854,0.352595,0.273438,0.431771,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.483724,0.434959,0.245964,0.360130,0.270312,0.437046,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.491927,0.442483,0.245573,0.363211,0.262500,0.437344,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.488411,0.441674,0.244401,0.361264,0.267188,0.438994,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.494271,0.443573,0.240104,0.359780,0.265625,0.439053,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.495443,0.443955,0.240495,0.359750,0.264062,0.439468,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.495443,0.443955,0.240495,0.359750,0.264062,0.439468,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.496615,0.441760,0.239323,0.358487,0.264062,0.436933,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.498568,0.443351,0.240495,0.361620,0.260938,0.435568,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.507161,0.446194,0.241276,0.363118,0.251563,0.432414,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.465755,0.392995,0.258854,0.327485,0.275391,0.398496,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.475651,0.395185,0.268880,0.340881,0.255469,0.393107,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.500000,0.398188,0.267188,0.342724,0.232813,0.389161,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.529948,0.402891,0.262240,0.345164,0.207813,0.381436,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.539583,0.406771,0.272135,0.350599,0.188281,0.366314,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.552865,0.408427,0.279167,0.356113,0.167969,0.362680,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.555208,0.410197,0.281510,0.353168,0.163281,0.361571,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.552083,0.409935,0.287760,0.356574,0.160156,0.357258,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.543490,0.418273,0.303385,0.377102,0.153125,0.354996,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.540365,0.419444,0.307292,0.377730,0.152344,0.355616,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0001,0.465104,0.393454,0.256771,0.329126,0.278125,0.403740,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0002,0.487760,0.390032,0.255208,0.323446,0.257031,0.386977,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0003,0.519531,0.389561,0.248438,0.317626,0.232031,0.374946,64
