scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0004,0.566276,0.402435,0.250911,0.338531,0.182813,0.351213,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0005,0.601432,0.415855,0.256380,0.355567,0.142188,0.337970,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0006,0.620182,0.413445,0.253255,0.351796,0.126562,0.332972,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0007,0.613151,0.411183,0.261068,0.353323,0.125781,0.333094,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0008,0.599479,0.415177,0.274740,0.362810,0.125781,0.333094,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0009,0.606510,0.419830,0.267708,0.364700,0.125781,0.333094,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0010,0.608464,0.420657,0.266536,0.365421,0.125000,0.333333,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0001,0.507031,0.381134,0.273438,0.322574,0.219531,0.368353,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0002,0.537370,0.378573,0.281771,0.331210,0.180859,0.343238,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0003,0.556901,0.381109,0.282552,0.330032,0.160547,0.331327,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0004,0.589583,0.391299,0.285417,0.344294,0.125000,0.314592,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0005,0.606120,0.387922,0.275911,0.341446,0.117969,0.315772,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0006,0.602865,0.395662,0.277604,0.351229,0.119531,0.315677,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0007,0.616276,0.386028,0.273568,0.343523,0.110156,0.298565,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0008,0.615495,0.391724,0.285286,0.350349,0.099219,0.292023,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0009,0.624089,0.396371,0.276693,0.353766,0.099219,0.293649,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0010,0.620703,0.395636,0.280078,0.353907,0.099219,0.293649,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.455599,0.379292,0.272526,0.326263,0.271875,0.385951,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.492578,0.382213,0.251172,0.315334,0.256250,0.371131,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.520833,0.381575,0.228385,0.297916,0.250781,0.383125,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.548438,0.391144,0.223438,0.302728,0.228125,0.386054,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.561068,0.391420,0.224870,0.301662,0.214063,0.382086,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.569271,0.391718,0.227604,0.301195,0.203125,0.385848,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.569401,0.395965,0.232161,0.305887,0.198437,0.385240,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.576432,0.400387,0.223568,0.304278,0.200000,0.387503,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.583464,0.397713,0.224349,0.304672,0.192188,0.382268,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.587760,0.398556,0.224740,0.307863,0.187500,0.381933,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0001,0.508464,0.368943,0.287630,0.328322,0.203906,0.349638,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0002,0.545703,0.376667,0.281641,0.322390,0.172656,0.341324,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0003,0.551562,0.379977,0.289062,0.335081,0.159375,0.335927,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0004,0.579427,0.390764,0.293229,0.342374,0.127344,0.320086,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0005,0.575000,0.404856,0.304688,0.363402,0.120313,0.313672,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0006,0.562760,0.403356,0.331771,0.373384,0.105469,0.301862,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0007,0.558724,0.410111,0.334245,0.376720,0.107031,0.302617,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0008,0.556641,0.413566,0.346484,0.386936,0.096875,0.293295,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0009,0.548438,0.417354,0.353906,0.393101,0.097656,0.293370,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0010,0.541667,0.420671,0.361458,0.399135,0.096875,0.293430,64
