scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0004,0.543229,0.407889,0.265365,0.336811,0.191406,0.369422,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0005,0.557552,0.412147,0.277604,0.352741,0.164844,0.358422,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0006,0.573828,0.418316,0.282422,0.363915,0.143750,0.350000,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0007,0.573177,0.422093,0.286198,0.370358,0.140625,0.350382,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0008,0.573698,0.424220,0.284896,0.372604,0.141406,0.350120,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0009,0.570312,0.423582,0.288281,0.372757,0.141406,0.350120,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0010,0.569531,0.423854,0.288281,0.373076,0.142187,0.349968,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0001,0.490234,0.377692,0.279167,0.328376,0.230599,0.370242,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0002,0.537891,0.375016,0.276953,0.315697,0.185156,0.353181,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0003,0.564844,0.376443,0.273438,0.312800,0.161719,0.343620,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0004,0.572656,0.387371,0.283594,0.332837,0.143750,0.328356,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0005,0.566797,0.387089,0.296484,0.347487,0.136719,0.324556,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0006,0.578385,0.396854,0.299740,0.360084,0.121875,0.313945,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0007,0.590885,0.403882,0.305208,0.361201,0.103906,0.295509,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0008,0.595312,0.394220,0.307813,0.359857,0.096875,0.290029,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0009,0.601562,0.393339,0.303125,0.356718,0.095312,0.283644,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0010,0.612760,0.391811,0.302865,0.359852,0.084375,0.273263,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.453776,0.380342,0.269661,0.320295,0.276562,0.387090,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.481510,0.387266,0.255208,0.318754,0.263281,0.392513,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.511589,0.399588,0.243099,0.313471,0.245312,0.393571,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.542448,0.415824,0.243490,0.331604,0.214062,0.398755,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.544922,0.414078,0.245703,0.328114,0.209375,0.395096,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.554167,0.411540,0.241146,0.325611,0.204687,0.401754,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.559766,0.416176,0.240234,0.331225,0.200000,0.399603,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.562370,0.411674,0.239193,0.326905,0.198437,0.397010,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.562891,0.412866,0.238672,0.328085,0.198437,0.397010,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.566276,0.412787,0.233724,0.324603,0.200000,0.400000,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0001,0.508594,0.384324,0.275000,0.322834,0.216406,0.370012,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0002,0.520964,0.384717,0.280599,0.326156,0.198437,0.362746,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0003,0.550000,0.385247,0.274479,0.317580,0.175521,0.346779,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0004,0.573307,0.391939,0.275391,0.317964,0.151302,0.334881,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0005,0.583984,0.398344,0.275391,0.336399,0.140625,0.338868,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0006,0.581250,0.405346,0.282813,0.349259,0.135937,0.339639,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0007,0.589583,0.413232,0.277604,0.357595,0.132812,0.333359,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0008,0.584505,0.415071,0.282682,0.359417,0.132812,0.334310,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0009,0.589193,0.417129,0.284245,0.364532,0.126562,0.325743,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0010,0.590755,0.417309,0.287370,0.371502,0.121875,0.325366,64
