scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.461719,0.385563,0.268750,0.325202,0.269531,0.399962,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.476693,0.399118,0.265495,0.339331,0.257812,0.396034,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.490104,0.404723,0.274740,0.345393,0.235156,0.386137,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.500130,0.402244,0.284245,0.349244,0.215625,0.374682,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.502083,0.402744,0.286979,0.349713,0.210938,0.373791,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.510286,0.397145,0.295964,0.354316,0.193750,0.368556,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.524740,0.400319,0.292448,0.355418,0.182812,0.363648,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.526302,0.405537,0.296354,0.360524,0.177344,0.363398,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.536068,0.405080,0.295964,0.354092,0.167969,0.358720,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.535677,0.407057,0.301042,0.359880,0.163281,0.354253,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.463802,0.413067,0.261198,0.352733,0.275000,0.430946,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.477214,0.431961,0.249349,0.364986,0.273438,0.433971,64
