scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.466276,0.387163,0.261849,0.317722,0.271875,0.395799,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.513672,0.383369,0.256641,0.311996,0.229687,0.374348,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.538021,0.380968,0.256510,0.309486,0.205469,0.367976,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.550260,0.386689,0.248958,0.308376,0.200781,0.369523,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.569661,0.391872,0.237370,0.304287,0.192969,0.368811,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.582552,0.398035,0.228385,0.301209,0.189063,0.369090,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.588932,0.402763,0.221224,0.299459,0.189844,0.373867,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.594401,0.404647,0.220443,0.302677,0.185156,0.371364,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.593620,0.406152,0.214974,0.298051,0.191406,0.373694,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.596354,0.401161,0.212240,0.291158,0.191406,0.372418,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.465104,0.413932,0.263021,0.353063,0.271875,0.430750,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.482682,0.432173,0.247005,0.360654,0.270312,0.437772,64
