scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0010,0.591146,0.422222,0.258854,0.353016,0.150000,0.348694,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0001,0.506510,0.385837,0.264844,0.318220,0.228646,0.379123,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0002,0.543750,0.374451,0.264062,0.314171,0.192187,0.347921,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0003,0.562370,0.377118,0.270443,0.329528,0.167187,0.321359,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0004,0.576172,0.377950,0.294922,0.347587,0.128906,0.298116,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0005,0.594922,0.377377,0.296484,0.348930,0.108594,0.291623,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0006,0.600521,0.383270,0.301823,0.349945,0.097656,0.289832,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0007,0.603516,0.388347,0.300391,0.349705,0.096094,0.293623,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0008,0.605990,0.392673,0.296354,0.353921,0.097656,0.294180,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0009,0.600781,0.402302,0.300781,0.366371,0.098437,0.294657,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0010,0.594010,0.402268,0.306771,0.368678,0.099219,0.295266,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.440755,0.373591,0.276693,0.323622,0.282552,0.387280,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.466797,0.383450,0.270182,0.317372,0.263021,0.392831,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.487760,0.398921,0.265625,0.329366,0.246615,0.390249,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.502865,0.392787,0.272917,0.335765,0.224219,0.390258,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.517708,0.412747,0.273698,0.347272,0.208594,0.388889,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.530729,0.415615,0.273958,0.350571,0.195312,0.383873,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.548177,0.422516,0.266667,0.353740,0.185156,0.380651,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.560547,0.422549,0.259766,0.351178,0.179688,0.379297,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.559115,0.424606,0.261198,0.354389,0.179688,0.379297,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.566927,0.425297,0.254167,0.350774,0.178906,0.376577,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0001,0.502214,0.379174,0.288802,0.331766,0.208984,0.343314,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0002,0.534896,0.380473,0.296745,0.338106,0.168359,0.330741,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0003,0.560026,0.390558,0.293099,0.339482,0.146875,0.324511,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0004,0.571615,0.385775,0.299479,0.338840,0.128906,0.307035,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0005,0.590755,0.385047,0.291276,0.340212,0.117969,0.309681,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0006,0.598437,0.395106,0.294531,0.348365,0.107031,0.297858,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0007,0.604948,0.388295,0.295052,0.339593,0.100000,0.293312,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0008,0.594271,0.391786,0.305729,0.346721,0.100000,0.293312,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0009,0.598307,0.393194,0.301693,0.347132,0.100000,0.293312,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0010,0.599479,0.389704,0.300521,0.342827,0.100000,0.293312,64
