scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.473698,0.388092,0.271354,0.322571,0.254948,0.396687,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.515495,0.389098,0.246484,0.308252,0.238021,0.384011,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.537240,0.398672,0.247135,0.316974,0.215625,0.383889,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.547266,0.398960,0.238672,0.309631,0.214062,0.378748,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.547135,0.402928,0.241146,0.316590,0.211719,0.378462,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.549479,0.400319,0.238802,0.317953,0.211719,0.380970,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.547526,0.398835,0.243880,0.326116,0.208594,0.377077,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.547786,0.403999,0.246745,0.333722,0.205469,0.375449,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.548307,0.403979,0.247005,0.331531,0.204688,0.374348,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.554948,0.402981,0.247396,0.321029,0.197656,0.368225,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.465885,0.415673,0.259115,0.350990,0.275000,0.433516,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.486589,0.438375,0.239974,0.358040,0.273438,0.443379,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.488932,0.440564,0.237630,0.358907,0.273438,0.443379,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.486589,0.440137,0.238411,0.359706,0.275000,0.442575,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.490104,0.442782,0.236458,0.360835,0.273438,0.442662,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.492057,0.444041,0.236068,0.361273,0.271875,0.443102,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.490495,0.443473,0.236068,0.361273,0.273438,0.443379,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.493229,0.445076,0.236458,0.360945,0.270313,0.443177,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.496745,0.447838,0.236068,0.361273,0.267188,0.444385,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.496745,0.447838,0.236068,0.361273,0.267188,0.444385,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.469271,0.389594,0.256771,0.325459,0.273958,0.401901,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.496354,0.395424,0.250000,0.323761,0.253646,0.400600,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.507292,0.401638,0.255208,0.325325,0.237500,0.397412,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.526432,0.405214,0.267318,0.341198,0.206250,0.391933,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.541276,0.406141,0.265755,0.336925,0.192969,0.386875,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.545573,0.406443,0.275521,0.343136,0.178906,0.371484,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.556510,0.410108,0.277083,0.348751,0.166406,0.365372,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.557292,0.406450,0.285677,0.351199,0.157031,0.361749,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.564714,0.410485,0.281380,0.356060,0.153906,0.359155,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.565104,0.412243,0.282552,0.359985,0.152344,0.356507,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0001,0.467448,0.388755,0.262240,0.326949,0.270312,0.394679,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0002,0.510547,0.400362,0.252734,0.331739,0.236719,0.380814,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0003,0.531771,0.385309,0.258854,0.323206,0.209375,0.369242,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0004,0.553646,0.393874,0.259635,0.330768,0.186719,0.363213,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0005,0.579427,0.404764,0.258854,0.340310,0.161719,0.350027,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0006,0.591927,0.416418,0.257292,0.344980,0.150781,0.348180,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0007,0.595312,0.420574,0.254688,0.348548,0.150000,0.348238,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0008,0.591146,0.420149,0.260417,0.350944,0.148438,0.348690,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0009,0.591146,0.421469,0.261198,0.352555,0.147656,0.348856,64
