scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.469141,0.389387,0.263672,0.324983,0.267188,0.399724,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.513281,0.386035,0.249219,0.306879,0.237500,0.393297,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.530339,0.394261,0.240755,0.303671,0.228906,0.393781,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.545443,0.391102,0.238932,0.302284,0.215625,0.384715,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.545703,0.392641,0.250391,0.324311,0.203906,0.377156,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.554557,0.391333,0.251693,0.326657,0.193750,0.371985,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.549219,0.390625,0.256250,0.323336,0.194531,0.378187,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.550130,0.391129,0.260026,0.325761,0.189844,0.372591,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.557552,0.395833,0.251823,0.327355,0.190625,0.372771,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.562370,0.395399,0.250130,0.327631,0.187500,0.365800,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.471484,0.413916,0.256641,0.348017,0.271875,0.430750,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.496224,0.435708,0.244401,0.358009,0.259375,0.435605,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.496224,0.437162,0.244401,0.359778,0.259375,0.435605,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.494661,0.437327,0.245964,0.361120,0.259375,0.435605,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.491536,0.440397,0.241276,0.360871,0.267188,0.439355,64
