scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.459505,0.384404,0.268620,0.323127,0.271875,0.398198,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.504167,0.393297,0.256771,0.325052,0.239063,0.384880,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.538151,0.396189,0.240755,0.315387,0.221094,0.379306,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.540104,0.388863,0.246615,0.314286,0.213281,0.370996,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.552995,0.382839,0.247005,0.313379,0.200000,0.357682,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.566406,0.390783,0.247656,0.322385,0.185938,0.353606,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.571484,0.391713,0.255859,0.321738,0.172656,0.345370,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.577344,0.391481,0.259375,0.324035,0.163281,0.342637,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.576190,0.386774,0.276984,0.331776,0.146825,0.329574,63
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.584524,0.381869,0.275000,0.330061,0.140476,0.319255,63
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.453906,0.414571,0.271094,0.362208,0.275000,0.430946,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.479557,0.429670,0.245443,0.361334,0.275000,0.436436,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.483464,0.430041,0.241536,0.359187,0.275000,0.436072,64
