scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.464193,0.386882,0.265495,0.324703,0.270313,0.404608,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.476693,0.390773,0.262370,0.325124,0.260937,0.396159,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.497786,0.389813,0.264714,0.325878,0.237500,0.387708,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.510417,0.393415,0.266146,0.333280,0.223438,0.386577,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.524740,0.400485,0.260417,0.335765,0.214844,0.384386,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.528776,0.403564,0.262630,0.342837,0.208594,0.375812,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.530729,0.399848,0.266927,0.341649,0.202344,0.374211,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.535417,0.390995,0.259896,0.330270,0.204687,0.376040,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.534245,0.394221,0.263411,0.338087,0.202344,0.374423,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.544792,0.406409,0.263802,0.347919,0.191406,0.371564,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.467187,0.414802,0.257812,0.351637,0.275000,0.430209,64
