scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.464974,0.391007,0.263542,0.326438,0.271484,0.401161,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.501302,0.404489,0.259635,0.333056,0.239063,0.390916,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.514323,0.409939,0.261458,0.339141,0.224219,0.385346,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.523047,0.412919,0.265234,0.341931,0.211719,0.377202,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.530078,0.410482,0.263672,0.341998,0.206250,0.377071,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.531641,0.409007,0.262109,0.342058,0.206250,0.384574,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.541667,0.402111,0.260677,0.333206,0.197656,0.382601,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.554557,0.405134,0.255599,0.336781,0.189844,0.374715,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.558464,0.406878,0.252474,0.335875,0.189063,0.377594,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.558464,0.403155,0.252474,0.333028,0.189062,0.376330,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.457943,0.417051,0.260807,0.355663,0.281250,0.434568,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.480990,0.436748,0.245573,0.367474,0.273438,0.436160,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.500521,0.446730,0.243229,0.366735,0.256250,0.435662,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.500911,0.447362,0.244401,0.368011,0.254688,0.435318,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.503255,0.449872,0.242057,0.369420,0.254688,0.435318,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.504036,0.449203,0.241276,0.368057,0.254688,0.435318,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.504818,0.448621,0.240495,0.366796,0.254688,0.435318,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.507552,0.447863,0.239323,0.364524,0.253125,0.435332,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.510286,0.447642,0.238151,0.362700,0.251563,0.435705,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.511068,0.447490,0.237370,0.361962,0.251563,0.435705,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.465755,0.391753,0.260417,0.324289,0.273828,0.399390,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.491406,0.400132,0.260156,0.330299,0.248437,0.390357,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.514453,0.412477,0.255859,0.334379,0.229688,0.390636,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.528385,0.419684,0.271615,0.349599,0.200000,0.384625,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.540885,0.412157,0.279427,0.348434,0.179688,0.375512,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.538802,0.415199,0.290104,0.358750,0.171094,0.369878,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.539583,0.415459,0.293229,0.364456,0.167188,0.367771,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.539583,0.415809,0.295573,0.369055,0.164844,0.366090,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.541406,0.421783,0.300000,0.373635,0.158594,0.365426,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.542969,0.419265,0.296875,0.369778,0.160156,0.365602,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0001,0.464063,0.386366,0.267188,0.327851,0.268750,0.395561,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0002,0.501432,0.396194,0.262109,0.330854,0.236458,0.385985,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0003,0.511328,0.409896,0.267057,0.342314,0.221615,0.382218,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0004,0.540495,0.410335,0.263411,0.348414,0.196094,0.372284,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0005,0.565234,0.410251,0.262109,0.342406,0.172656,0.359335,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0006,0.570964,0.412043,0.266536,0.348695,0.162500,0.354786,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0007,0.570573,0.409830,0.268490,0.345838,0.160938,0.350902,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0008,0.575260,0.409079,0.269271,0.348709,0.155469,0.346309,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0009,0.579167,0.407502,0.267708,0.345018,0.153125,0.342710,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0010,0.584635,0.410030,0.263802,0.342719,0.151562,0.345948,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0001,0.497266,0.376752,0.272135,0.328762,0.230599,0.365133,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0002,0.533203,0.384999,0.272135,0.332689,0.194661,0.351732,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0003,0.555208,0.393486,0.272135,0.340182,0.172656,0.334513,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0004,0.587500,0.395154,0.267188,0.331542,0.145313,0.324859,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0005,0.598437,0.391316,0.282031,0.340729,0.119531,0.309841,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0006,0.604297,0.399321,0.278516,0.350566,0.117188,0.305793,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0007,0.595833,0.401738,0.290104,0.354248,0.114063,0.299135,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0008,0.604036,0.408462,0.297526,0.369898,0.098438,0.289220,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0009,0.602083,0.403725,0.299479,0.368011,0.098437,0.289768,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0010,0.602474,0.405696,0.300651,0.370924,0.096875,0.289344,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.462891,0.376386,0.252734,0.313459,0.284375,0.384509,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.479687,0.388012,0.246094,0.311175,0.274219,0.393700,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.490104,0.391082,0.246615,0.319728,0.263281,0.394128,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.514193,0.395922,0.251432,0.327184,0.234375,0.392881,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.529167,0.397446,0.252083,0.333155,0.218750,0.391122,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.527734,0.409806,0.275391,0.351883,0.196875,0.389533,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.525521,0.409337,0.280729,0.354577,0.193750,0.390309,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.530208,0.410949,0.276042,0.353839,0.193750,0.390309,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.533594,0.413288,0.271094,0.352982,0.195312,0.392157,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.532031,0.408100,0.274219,0.349501,0.193750,0.390309,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0001,0.516146,0.364038,0.275911,0.311051,0.207943,0.339803,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0002,0.564062,0.365030,0.265104,0.300510,0.170833,0.324445,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0003,0.564844,0.380732,0.284635,0.325778,0.150521,0.313820,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0004,0.595833,0.404014,0.277604,0.342702,0.126562,0.316851,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0005,0.594401,0.411165,0.286849,0.359743,0.118750,0.317668,64
with_crossover_with_mutation_with_diversity_with_both_syntax_with_validation_vw1p5,evo_gen_0006,0.587109,0.422060,0.292578,0.375533,0.120312,0.321790,64
