scenario,generation,overall_mean_correct,overall_sd_correct,sem_correct,N_runs_correct,overall_mean_correct_pct,overall_sd_correct_pct,sem_correct_pct,overall_mean_wrong_no_error,overall_sd_wrong_no_error,sem_wrong_no_error,N_runs_wrong_no_error,overall_mean_wrong_no_error_pct,overall_sd_wrong_no_error_pct,sem_wrong_no_error_pct,overall_mean_error,overall_sd_error,sem_error,N_runs_error,overall_mean_error_pct,overall_sd_error_pct,sem_error_pct,n_batches
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.46468760000000003,0.37018275601104017,0.03701827560110402,100.0,46.46876,37.018275601104015,3.701827560110402,0.26466150000000005,0.3096698084105884,0.03096698084105884,100.0,26.466150000000006,30.966980841058838,3.096698084105884,0.2706512,0.38384439330851744,0.03838443933085174,100.0,27.065119999999997,38.38443933085174,3.8384439330851743,10
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.4977996,0.3762869626195874,0.037628696261958736,100.0,49.77996,37.62869626195874,3.7628696261958736,0.2576953,0.3088831578607357,0.030888315786073574,100.0,25.769530000000003,30.888315786073573,3.0888315786073575,0.24450519999999998,0.3730294669132938,0.03730294669132938,100.0,24.450519999999997,37.30294669132938,3.7302946691329377,10
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.5169271,0.38066059549534237,0.03806605954953424,100.0,51.69271,38.06605954953424,3.8066059549534237,0.2577213,0.31186669394826727,0.031186669394826727,100.0,25.772129999999997,31.186669394826726,3.1186669394826727,0.2253516,0.36911133790868217,0.03691113379086822,100.0,22.53516,36.91113379086822,3.6911133790868216,10
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.529414,0.38119681367470465,0.038119681367470466,100.0,52.9414,38.11968136747046,3.811968136747047,0.2548828,0.3097960793839826,0.03097960793839826,100.0,25.488280000000003,30.979607938398264,3.097960793839826,0.21570309999999998,0.36424278102888547,0.03642427810288855,100.0,21.57031,36.42427810288854,3.6424278102888548,10
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.5378516,0.3831947760646567,0.03831947760646567,100.0,53.78516,38.31947760646567,3.8319477606465666,0.2535548,0.3131487240877211,0.03131487240877211,100.0,25.355480000000004,31.31487240877211,3.1314872408772105,0.20859389999999997,0.3597879341045952,0.03597879341045952,100.0,20.859389999999998,35.97879341045952,3.597879341045952,10
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.5438019999999999,0.3840628933200442,0.03840628933200442,100.0,54.38019999999999,38.40628933200442,3.840628933200442,0.2557291,0.3163953293039796,0.031639532930397965,100.0,25.57291,31.639532930397962,3.1639532930397967,0.20046889999999998,0.3571221475997004,0.03571221475997004,100.0,20.046889999999998,35.71221475997004,3.5712214759970036,10
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.5476823000000001,0.3836708697960013,0.03836708697960013,100.0,54.76823000000001,38.36708697960013,3.836708697960013,0.2586458,0.3177105249562878,0.03177105249562878,100.0,25.864579999999997,31.771052495628783,3.177105249562878,0.1936719,0.35515615548489105,0.0355156155484891,100.0,19.36719,35.5156155484891,3.5515615548489103,10
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.5515884,0.38485993840127386,0.03848599384012739,100.0,55.15884,38.485993840127385,3.8485993840127386,0.2591146,0.3196951663808396,0.031969516638083964,100.0,25.911459999999998,31.96951663808396,3.1969516638083966,0.1892968,0.3525179628156084,0.03525179628156084,100.0,18.929679999999998,35.251796281560836,3.525179628156084,10
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.5509548888888888,0.386378181364485,0.04072783637684658,90.0,55.09548888888888,38.6378181364485,4.072783637684658,0.2578992222222222,0.3193210810969542,0.033659397372457114,90.0,25.789922222222224,31.932108109695417,3.3659397372457116,0.1911458888888889,0.35568213145627603,0.03749218861417515,90.0,19.11458888888889,35.5682131456276,3.749218861417515,9
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.5524885555555555,0.38756162274892203,0.04085258205191738,90.0,55.24885555555555,38.756162274892205,4.085258205191738,0.25818877777777777,0.32037653155645013,0.033770651619439734,90.0,25.818877777777775,32.03765315564501,3.3770651619439733,0.18932277777777778,0.3537048316575632,0.03728376291481098,90.0,18.932277777777777,35.37048316575632,3.7283762914810983,9
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.39270800000000006,0.35438106824562327,0.035438106824562325,100.0,39.27080000000001,35.438106824562325,3.5438106824562325,0.265495,0.3188054721156917,0.031880547211569174,100.0,26.5495,31.880547211569173,3.1880547211569175,0.341797,0.3928256333065948,0.03928256333065948,100.0,34.179700000000004,39.28256333065948,3.928256333065948,10
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.46401019999999993,0.3961172608336623,0.03961172608336623,100.0,46.401019999999995,39.61172608336623,3.961172608336623,0.2611458,0.33763135288750434,0.03376313528875043,100.0,26.114579999999997,33.76313528875043,3.3763135288750434,0.2748438,0.4116370608134199,0.04116370608134199,100.0,27.48438,41.163706081341985,4.116370608134199,10
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.48598959999999997,0.4154735522715998,0.04154735522715998,100.0,48.59896,41.54735522715998,4.154735522715998,0.2454168,0.3454464706744949,0.03454464706744949,100.0,24.54168,34.54464706744949,3.454464706744949,0.26859370000000005,0.4164032540173193,0.04164032540173193,100.0,26.859370000000006,41.64032540173193,4.164032540173193,10
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.4923959,0.418501776404832,0.0418501776404832,100.0,49.23959,41.850177640483196,4.18501776404832,0.2435415,0.3455352868289864,0.03455352868289864,100.0,24.35415,34.55352868289864,3.455352868289864,0.2640625,0.41587615517263277,0.041587615517263275,100.0,26.406249999999996,41.58761551726327,4.158761551726328,10
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.4915755,0.41927857270724467,0.04192785727072447,100.0,49.15755,41.927857270724466,4.192785727072447,0.24350259999999999,0.3457294516593674,0.034572945165936744,100.0,24.35026,34.572945165936744,3.4572945165936746,0.264922,0.41633335503937635,0.041633335503937635,100.0,26.4922,41.63333550393764,4.163333550393763,10
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.49466140000000003,0.42192797389734804,0.042192797389734804,100.0,49.46614,42.19279738973481,4.21927973897348,0.24080729999999995,0.34628103545233224,0.03462810354523323,100.0,24.080729999999996,34.62810354523322,3.462810354523323,0.2645313,0.41697344898003164,0.04169734489800316,100.0,26.45313,41.697344898003166,4.169734489800316,10
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.4947005,0.4232607543258707,0.04232607543258707,100.0,49.47005,42.32607543258707,4.232607543258707,0.24045579999999994,0.34635645626996603,0.0346356456269966,100.0,24.045579999999994,34.635645626996606,3.46356456269966,0.2648438,0.4185564837365671,0.04185564837365671,100.0,26.48438,41.85564837365671,4.185564837365671,10
