scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.463802,0.390152,0.269010,0.327541,0.267188,0.407491,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.492448,0.394620,0.262630,0.323898,0.244922,0.398140,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.500911,0.408189,0.271745,0.340753,0.227344,0.398900,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.514062,0.413317,0.264062,0.338586,0.221875,0.397400,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.520964,0.417386,0.261068,0.341617,0.217969,0.390601,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.527995,0.415202,0.256380,0.333868,0.215625,0.392881,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.522526,0.417160,0.266536,0.343825,0.210938,0.391220,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.525260,0.416989,0.266146,0.340116,0.208594,0.387867,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.526432,0.411852,0.264974,0.333886,0.208594,0.388685,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.527604,0.415742,0.262240,0.336706,0.210156,0.388238,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.460156,0.417421,0.263281,0.359397,0.276562,0.431955,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.483724,0.437778,0.252214,0.370894,0.264062,0.434382,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.490365,0.440767,0.250260,0.370620,0.259375,0.434511,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.495833,0.444395,0.251042,0.370243,0.253125,0.435332,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.493490,0.444232,0.248698,0.370403,0.257812,0.436365,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.498177,0.446415,0.247135,0.371036,0.254688,0.435318,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.497396,0.446723,0.246354,0.371510,0.256250,0.435662,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.497396,0.446011,0.247917,0.371095,0.254688,0.435318,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.502083,0.449382,0.246354,0.371510,0.251563,0.435705,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.503646,0.450959,0.246354,0.371510,0.250000,0.436436,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.470443,0.381176,0.267839,0.320610,0.261719,0.394581,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.499740,0.403919,0.266667,0.337118,0.233594,0.385764,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.499219,0.406952,0.275781,0.349208,0.225000,0.384625,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.505729,0.417013,0.286458,0.369026,0.207813,0.388037,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.521615,0.427934,0.285417,0.380945,0.192969,0.386464,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.530729,0.425802,0.284896,0.377155,0.184375,0.380150,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.531510,0.425790,0.285677,0.375341,0.182812,0.381124,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.528385,0.420670,0.291146,0.373340,0.180469,0.378973,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.523698,0.426118,0.291146,0.377041,0.185156,0.383766,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.525260,0.430014,0.288802,0.378292,0.185937,0.387039,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0001,0.466536,0.394541,0.261589,0.328472,0.271875,0.400978,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0002,0.492708,0.393763,0.258073,0.321369,0.249219,0.393145,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0003,0.492839,0.389452,0.268880,0.326498,0.238281,0.387477,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0004,0.522917,0.386050,0.272396,0.336588,0.204688,0.363484,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0005,0.561979,0.396217,0.276302,0.345286,0.161719,0.347981,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0006,0.572917,0.403179,0.273177,0.346087,0.153906,0.354260,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0007,0.568490,0.406691,0.279167,0.354487,0.152344,0.351801,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0008,0.570052,0.408563,0.283073,0.356762,0.146875,0.351400,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0009,0.575521,0.409370,0.276823,0.355960,0.147656,0.352027,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0010,0.576302,0.411880,0.276042,0.358518,0.147656,0.352027,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0001,0.485547,0.380117,0.286328,0.335569,0.228125,0.374365,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0002,0.516667,0.389738,0.291146,0.343855,0.192188,0.364411,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0003,0.540104,0.397010,0.293490,0.351096,0.166406,0.339240,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0004,0.580729,0.386754,0.277083,0.336657,0.142188,0.330370,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0005,0.595703,0.388543,0.272266,0.332386,0.132031,0.327977,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0006,0.611849,0.397938,0.260807,0.338246,0.127344,0.324762,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0007,0.603646,0.409440,0.270573,0.353051,0.125781,0.325380,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0008,0.609896,0.414505,0.265885,0.357724,0.124219,0.321824,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0009,0.601562,0.417388,0.278125,0.370434,0.120312,0.316819,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0010,0.600391,0.421424,0.282422,0.377101,0.117188,0.316882,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.462240,0.379794,0.258854,0.322304,0.278906,0.391254,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.484245,0.383299,0.255599,0.318762,0.260156,0.388136,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.486068,0.388529,0.266276,0.326695,0.247656,0.395554,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.513932,0.404361,0.255599,0.330057,0.230469,0.391438,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.538281,0.407748,0.253906,0.336699,0.207813,0.385575,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.538802,0.400771,0.264323,0.341576,0.196875,0.373303,64
with_crossover_with_mutation_with_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.548177,0.408671,0.262760,0.343146,0.189062,0.380107,64
