scenario,generation,n_contexts,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0003,64,0.5119357777777778,0.012325137167368327,0.2648292222222222,0.00991491516325,0.22323488888888887,0.010278759281212451
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0004,64,0.540437,0.016060715270497763,0.26867755555555556,0.01448604431954348,0.19088555555555556,0.006754578652867827
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0005,64,0.5607203333333334,0.021305620631654934,0.27052944444444443,0.014557089390663852,0.16875,0.015756033384072273
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0006,64,0.5692997777777777,0.026443560897587995,0.27149877777777776,0.01624301275762734,0.15920122222222222,0.0199019081608886
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0007,64,0.5702546666666667,0.024745333565139076,0.2750581111111111,0.01731128539020459,0.15468755555555555,0.0168377685361742
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0008,64,0.5683737777777778,0.023801917295555072,0.28119222222222223,0.013777272469340386,0.1504341111111111,0.014495994795498198
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0009,64,0.5682147777777778,0.02835440115210413,0.281872,0.017289480616837515,0.14991300000000002,0.014026861284692306
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0010,64,0.5700375555555556,0.030262826937974194,0.2807435555555555,0.019508670553827545,0.14921866666666667,0.013355642758774279
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,initial,64,0.392708,0.0,0.265495,0.0,0.341797,0.0
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0001,64,0.4957422,0.006751541466789486,0.27407560000000003,0.006469896516431559,0.2301822,0.00583403606814737
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0002,64,0.5316666999999999,0.008219392597861346,0.2747265,0.012511785717208119,0.1936067,0.011278025773354329
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0003,64,0.5561588000000001,0.008415463422903236,0.27473960000000003,0.011940705220193465,0.1691014,0.007713029930650545
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0004,64,0.5812759,0.012506946749262534,0.28087249999999997,0.01611079227826284,0.13785160000000002,0.0074538573041822535
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0005,64,0.5904297,0.021799373151283243,0.2853123,0.01898023659289374,0.1242579,0.009063168411518987
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0006,64,0.5938542,0.021277422441013216,0.2879428,0.019598563517654946,0.1182032,0.0103712684727247
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0007,64,0.5928646000000001,0.020880866240013434,0.29240889999999997,0.019163875306593563,0.11472659999999998,0.010116174224148837
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0008,64,0.5910287000000001,0.024288474555503328,0.2976042,0.02039188947051689,0.1113674,0.01257642546106714
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0009,64,0.5917576999999999,0.025326894752197522,0.2976953,0.020847254874176796,0.1105467,0.011969377799200761
