scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
benchmark_questions,evo_gen_0001,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
benchmark_questions,evo_gen_0002,0.409115,0.368205,0.283464,0.337819,0.307422,0.401823,64
benchmark_questions,evo_gen_0003,0.417708,0.365343,0.287370,0.336401,0.294922,0.394284,64
benchmark_questions,evo_gen_0004,0.425130,0.363552,0.297135,0.335966,0.277734,0.384189,64
benchmark_questions,evo_gen_0005,0.436068,0.362725,0.298698,0.336330,0.265234,0.376561,64
benchmark_questions,evo_gen_0006,0.439974,0.361377,0.301042,0.339092,0.258984,0.373379,64
benchmark_questions,evo_gen_0007,0.439974,0.361377,0.302604,0.340019,0.257422,0.372989,64
benchmark_questions,evo_gen_0008,0.441536,0.362295,0.302604,0.340019,0.255859,0.372591,64
benchmark_questions,evo_gen_0009,0.447005,0.361231,0.302604,0.340019,0.250391,0.367005,64
benchmark_questions,evo_gen_0010,0.448568,0.361680,0.304167,0.343024,0.247266,0.366994,64
