scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
benchmark_questions,evo_gen_0001,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
benchmark_questions,evo_gen_0002,0.413021,0.366248,0.287370,0.336696,0.299609,0.398919,64
benchmark_questions,evo_gen_0003,0.422005,0.360856,0.290885,0.336502,0.287109,0.387503,64
benchmark_questions,evo_gen_0004,0.431380,0.362676,0.298698,0.337684,0.269922,0.386739,64
benchmark_questions,evo_gen_0005,0.432943,0.361878,0.298698,0.337684,0.268359,0.384760,64
benchmark_questions,evo_gen_0006,0.437630,0.361633,0.298698,0.337684,0.263672,0.380813,64
benchmark_questions,evo_gen_0007,0.439193,0.362122,0.298698,0.337684,0.262109,0.380032,64
benchmark_questions,evo_gen_0008,0.441536,0.361363,0.301042,0.336685,0.257422,0.376799,64
benchmark_questions,evo_gen_0009,0.441536,0.361363,0.301042,0.336685,0.257422,0.376799,64
benchmark_questions,evo_gen_0010,0.441536,0.361363,0.301042,0.336685,0.257422,0.376799,64
