scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
benchmark_questions,evo_gen_0001,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
benchmark_questions,evo_gen_0002,0.419271,0.363793,0.277995,0.335260,0.302734,0.397315,64
benchmark_questions,evo_gen_0003,0.434115,0.359443,0.285026,0.332148,0.280859,0.378430,64
benchmark_questions,evo_gen_0004,0.442318,0.359012,0.290885,0.333184,0.266797,0.373105,64
benchmark_questions,evo_gen_0005,0.443880,0.359263,0.294010,0.333969,0.262109,0.372864,64
benchmark_questions,evo_gen_0006,0.448568,0.359424,0.297135,0.333655,0.254297,0.370905,64
benchmark_questions,evo_gen_0007,0.451693,0.359202,0.300260,0.333905,0.248047,0.366188,64
benchmark_questions,evo_gen_0008,0.454036,0.360781,0.301823,0.332709,0.244141,0.364570,64
benchmark_questions,evo_gen_0009,0.457161,0.359410,0.301823,0.332709,0.241016,0.360565,64
benchmark_questions,evo_gen_0010,0.458724,0.360697,0.301823,0.332709,0.239453,0.360522,64
