scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
benchmark_questions,evo_gen_0001,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
benchmark_questions,evo_gen_0002,0.415365,0.369983,0.280339,0.338412,0.304297,0.403446,64
benchmark_questions,evo_gen_0003,0.422396,0.366654,0.285807,0.338748,0.291797,0.392212,64
benchmark_questions,evo_gen_0004,0.424740,0.366339,0.289714,0.337777,0.285547,0.387140,64
benchmark_questions,evo_gen_0005,0.428646,0.362837,0.292057,0.338369,0.279297,0.380230,64
benchmark_questions,evo_gen_0006,0.437240,0.362646,0.292839,0.338563,0.269922,0.374542,64
benchmark_questions,evo_gen_0007,0.441146,0.364020,0.295182,0.337725,0.263672,0.373554,64
benchmark_questions,evo_gen_0008,0.443490,0.362815,0.297526,0.338631,0.258984,0.370713,64
benchmark_questions,evo_gen_0009,0.444271,0.362007,0.298307,0.338108,0.257422,0.368170,64
benchmark_questions,evo_gen_0010,0.444271,0.362007,0.299870,0.341150,0.255859,0.369060,64
